TimeStamp,x,y,Heading,Speed,Accel,DesiredSpd,Speed_Lead,Spacing,Dist2StopBar
4.140,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.156,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.173,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.188,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.204,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.220,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.239,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.252,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.268,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.284,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.302,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.316,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.333,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.348,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.366,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.380,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.396,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.412,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.430,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.444,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.459,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.478,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.491,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.507,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.523,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.540,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.555,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.571,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.589,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.603,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.619,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.635,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.653,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.667,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.683,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.699,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.715,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.732,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.747,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.763,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.781,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.795,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.811,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.829,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.843,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.859,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.875,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.894,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.907,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.923,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.939,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.955,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.971,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.987,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.004,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.020,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.037,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.052,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.070,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.084,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.100,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.116,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.133,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.148,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.164,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.181,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.196,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.212,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.228,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.245,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.260,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.276,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.292,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.309,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.324,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.340,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.356,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.372,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.388,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.404,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.421,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.436,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.452,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.467,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.485,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.499,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.515,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.533,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.547,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.563,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
