index,x,y,z,latitude,longitude,altitude
2,56.41383361816406,56.62196731567383,236.19798278808594,42.30008476990841,-83.6985980109312,236.19798278808594
3,56.29513931274414,56.1632080078125,236.21209716796875,42.30008889104653,-83.69859945254059,236.21209716796875
4,56.179222106933594,55.7027587890625,236.2255859375,42.30009302736525,-83.69860086042056,236.2255859375
5,56.060150146484375,55.24176788330078,236.23922729492188,42.3000971685498,-83.69860230661678,236.23922729492188
6,55.9375114440918,54.78007888793945,236.24710083007812,42.30010131600517,-83.6986037961331,236.24710083007812
7,55.7208251953125,53.886138916015625,236.2621307373047,42.3001093464668,-83.69860642791001,236.2621307373047
8,55.7208251953125,53.886138916015625,236.2621307373047,42.3001093464668,-83.69860642791001,236.2621307373047
9,55.649085998535156,53.41231918334961,236.27496337890625,42.30011360289447,-83.69860729922308,236.27496337890625
10,55.59415817260742,52.93565368652344,236.28741455078125,42.300117884885964,-83.69860796635255,236.28741455078125
11,55.54254913330078,52.458229064941406,236.29888916015625,42.300122173696536,-83.6986085931735,236.29888916015625
12,55.43315124511719,51.667205810546875,236.3205108642578,42.30012927963213,-83.69860992187266,236.3205108642578
13,55.43315124511719,51.667205810546875,236.3205108642578,42.30012927963213,-83.69860992187266,236.3205108642578
14,55.344451904296875,51.19154739379883,236.33477783203125,42.300133552575716,-83.69861099917627,236.33477783203125
15,55.25782012939453,50.71430969238281,236.34962463378906,42.30013783970611,-83.69861205136812,236.34962463378906
16,55.17305374145508,50.23551559448242,236.36412048339844,42.300142140817655,-83.69861308090378,236.36412048339844
17,55.08992004394531,49.755165100097656,236.3783416748047,42.30014645591035,-83.6986140906095,236.3783416748047
18,55.00820541381836,49.27326583862305,236.39231872558594,42.300150784915644,-83.69861508307984,236.39231872558594
19,54.92757797241211,48.78981399536133,236.4061279296875,42.30015512786781,-83.69861606234568,236.4061279296875
20,54.84804916381836,48.304752349853516,236.41983032226562,42.30015948528086,-83.69861702826799,236.41983032226562
